epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,9.38537,4.95568,0.002,9e-05,0.00105,0.00097,3e-05
2,6.35607,4.64414,0.00102,9e-05,0.00055,0.00147,3e-05
3,4.8776,4.3671,0.00303,9e-05,0.00156,0.00225,3e-05
4,4.04621,4.08781,0.00151,0.00015,0.00083,0.00279,3e-05
5,3.79773,4.25331,0.00145,0.00188,0.00167,0.00308,3e-05
6,3.53645,4.18853,0.00075,0.00016,0.00046,0.00288,3e-05
7,3.35369,3.81241,0.00212,0.0007,0.00141,0.00489,3e-05
8,3.05923,3.98069,0.001,0.00028,0.00064,0.00448,3e-05
9,3.08456,3.31756,0.00081,0.0005,0.00066,0.00305,3e-05
10,2.97091,3.04135,0.0011,0.0009,0.001,0.00378,3e-05
11,2.67063,3.70636,0.00115,0.00124,0.00119,0.00268,3e-05
12,2.86374,3.09635,0.00089,0.00038,0.00063,0.00257,3e-05
13,2.56959,2.96138,0.00043,0.00044,0.00043,0.00333,3e-05
14,2.46932,3.24574,0.00067,0.00015,0.00041,0.00337,3e-05
15,2.28349,3.01146,0.00039,0.0002,0.0003,0.00547,3e-05
16,2.0715,2.84074,0.00101,0.00182,0.00142,0.00428,3e-05
17,2.16486,2.62308,0.00142,0.00014,0.00078,0.00309,3e-05
18,1.87278,3.21466,0.00046,0.00027,0.00036,0.00394,3e-05
19,1.87819,2.87009,0.00145,0.00036,0.00091,0.00461,3e-05
20,2.02927,2.76613,0.0008,0.00024,0.00052,0.00367,3e-05
21,1.73776,2.53334,0.00115,0.00042,0.00079,0.00416,3e-05
22,1.79387,2.88089,0.00073,0.00021,0.00047,0.0049,3e-05
23,1.49108,2.9016,0.00069,0.00011,0.0004,0.00479,3e-05
24,1.61578,2.66834,0.00083,0.00013,0.00048,0.00403,3e-05
25,1.37198,3.00475,0.00057,0.00019,0.00038,0.00415,3e-05
26,1.59734,2.75651,0.00086,0.00015,0.00051,0.00526,3e-05
27,1.58691,2.54162,0.00121,0.00019,0.0007,0.00628,3e-05
28,1.45411,2.61318,0.00057,0.00015,0.00036,0.00533,3e-05
29,1.53792,2.90493,0.00053,0.00014,0.00033,0.00683,3e-05
30,1.4951,2.80772,0.00091,0.00016,0.00054,0.0058,3e-05
31,1.32372,2.8385,0.00051,0.00018,0.00034,0.00569,3e-05
32,1.35895,2.49557,0.00099,0.00026,0.00062,0.00659,3e-05
33,1.30335,2.61652,0.00078,0.00022,0.0005,0.00619,3e-05
34,1.32899,2.33936,0.00137,0.0004,0.00089,0.00628,3e-05
35,1.17212,3.47784,0.00037,0.00034,0.00036,0.00533,3e-05
36,1.13074,2.93039,0.00127,0.00014,0.00071,0.0064,3e-05
37,1.00792,2.80099,0.00132,0.0002,0.00076,0.00742,3e-05
38,1.02367,2.94208,0.00246,0.00033,0.0014,0.00691,3e-05
39,1.02407,2.69224,0.0016,0.00016,0.00088,0.00651,3e-05
40,1.24662,2.84865,0.00197,0.00035,0.00116,0.00715,3e-05
41,1.03205,2.67067,0.00096,0.00025,0.00061,0.00973,3e-05
42,1.07295,2.94379,0.00183,0.00018,0.001,0.00763,3e-05
43,0.95045,2.88253,0.001,0.00017,0.00058,0.00796,3e-05
44,0.81246,2.88222,0.00291,0.00043,0.00167,0.00768,3e-05
45,0.90134,2.57988,0.00079,0.00033,0.00056,0.00898,3e-05
46,1.01023,2.86518,0.00182,0.00027,0.00104,0.00797,3e-05
47,0.96468,2.85155,0.00189,0.00016,0.00102,0.01345,3e-05
48,0.8557,2.7252,0.00283,0.00082,0.00183,0.00896,1.5e-05
49,0.71879,2.55889,0.00198,0.00035,0.00117,0.00813,1.5e-05
50,0.66426,2.72515,0.00366,0.00033,0.002,0.00965,1.5e-05
51,0.78927,2.88676,0.00367,0.00031,0.00199,0.00856,1.5e-05
52,0.69131,2.92064,0.00227,0.00038,0.00133,0.00761,1.5e-05
53,0.64928,2.72526,0.00166,0.00019,0.00093,0.01089,1.5e-05
54,0.79774,3.05274,0.00079,0.00021,0.0005,0.00805,1.5e-05
55,0.72894,2.79568,0.00165,0.00037,0.00101,0.00888,1.5e-05
56,0.70459,3.06851,0.00099,0.00023,0.00061,0.00951,1.5e-05
57,0.61692,3.36848,0.00114,0.00044,0.00079,0.00736,1.5e-05
58,0.66078,3.17378,0.00128,0.00049,0.00088,0.00877,1.5e-05
59,0.60579,2.84786,0.00244,0.00057,0.00151,0.00995,1.5e-05
