epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,nan,3.34362,0.0003,0.00033,0.00031,0.00248,3e-05
2,2.70938,3.33017,0.00089,0.00031,0.0006,0.00258,3e-05
3,2.51094,2.80093,0.00893,0.00065,0.00479,0.00282,3e-05
4,nan,2.73446,0.0,0.00053,0.00027,0.00284,3e-05
5,1.95641,2.50375,0.0018,0.00041,0.00111,0.00307,3e-05
6,1.8046,2.38412,0.00215,0.00031,0.00123,0.00342,3e-05
7,1.53309,2.2671,0.00396,0.00053,0.00224,0.00392,3e-05
8,1.51667,2.10481,0.00454,0.00081,0.00268,0.00426,3e-05
9,1.49647,2.07077,0.00161,0.0004,0.001,0.00334,3e-05
10,1.46162,2.06696,0.00223,0.00034,0.00129,0.00351,3e-05
11,1.31712,2.01872,0.00101,0.00055,0.00078,0.004,3e-05
12,1.27026,1.91398,0.0015,0.00032,0.00091,0.00394,3e-05
13,1.22217,1.9254,0.00194,0.00052,0.00123,0.00441,3e-05
14,1.10514,1.84049,0.00077,0.00036,0.00057,0.00463,3e-05
15,1.06657,1.78816,0.00034,0.0005,0.00042,0.00425,3e-05
16,1.12431,1.88166,0.0014,0.00022,0.00081,0.00442,3e-05
17,1.12343,1.8632,0.00287,0.00046,0.00166,0.00435,3e-05
18,1.06306,1.74993,0.0015,0.00025,0.00088,0.00365,3e-05
19,1.0272,1.81331,0.00232,0.00049,0.0014,0.00438,3e-05
20,0.91188,1.81935,0.00288,0.00038,0.00163,0.00467,3e-05
21,1.01652,1.75827,0.00322,0.00042,0.00182,0.00354,3e-05
22,0.97282,1.78414,0.00442,0.00038,0.0024,0.00411,3e-05
23,0.85165,1.75733,0.0024,0.00031,0.00135,0.00463,3e-05
24,0.86832,1.74923,0.00118,0.00038,0.00078,0.00439,3e-05
25,0.89869,1.83064,0.0027,0.00018,0.00144,0.00502,3e-05
26,0.85475,1.61794,0.00281,0.00029,0.00155,0.00385,3e-05
27,0.84863,1.65435,0.00128,0.0003,0.00079,0.00392,3e-05
28,0.79063,1.66736,0.00656,0.00043,0.00349,0.00453,3e-05
29,0.75641,1.6502,0.00161,0.00043,0.00102,0.00409,3e-05
30,0.8206,1.52867,0.0027,0.00039,0.00155,0.00413,3e-05
31,0.77173,1.6126,0.00228,0.00035,0.00131,0.00376,3e-05
32,0.68006,1.54244,0.00446,0.00036,0.00241,0.00374,3e-05
33,0.68662,1.59971,0.0037,0.00025,0.00198,0.00497,3e-05
34,0.75521,1.61761,0.0023,0.00028,0.00129,0.00436,3e-05
35,0.59925,1.49978,0.00241,0.0004,0.0014,0.00463,3e-05
36,0.68727,1.79658,0.00165,0.0003,0.00098,0.0046,3e-05
37,0.60125,1.60341,0.00264,0.00039,0.00151,0.00413,3e-05
38,0.63817,1.676,0.00147,0.00065,0.00106,0.0069,3e-05
39,0.63135,1.70729,0.00182,0.00077,0.0013,0.00445,3e-05
40,0.59491,1.75625,0.00246,0.00035,0.0014,0.00494,3e-05
41,0.58122,1.54678,0.00335,0.00035,0.00185,0.00443,3e-05
42,0.51589,1.71841,0.00471,0.0005,0.0026,0.0049,3e-05
43,nan,1.36184,0.00279,0.00032,0.00155,0.00421,3e-05
44,0.56871,1.66864,0.00431,0.00064,0.00247,0.00484,3e-05
45,nan,1.54525,0.00435,0.0006,0.00248,0.0051,3e-05
46,0.45493,1.7221,0.00377,0.00092,0.00235,0.00702,3e-05
47,0.48402,1.61187,0.00355,0.00086,0.00221,0.00654,3e-05
48,0.51438,1.52863,0.00316,0.00073,0.00195,0.00472,3e-05
49,0.47369,1.59046,0.00483,0.00032,0.00257,0.00613,3e-05
50,0.45452,1.75187,0.00828,0.00044,0.00436,0.00761,3e-05
51,0.43167,1.58404,0.00438,0.0005,0.00244,0.00531,3e-05
52,nan,1.62633,0.00252,0.00076,0.00164,0.00611,3e-05
53,0.37461,1.6779,0.00434,0.00079,0.00256,0.00568,3e-05
54,0.36665,1.72755,0.00328,0.00071,0.002,0.00523,3e-05
55,0.37071,1.76401,0.0034,0.00075,0.00207,0.00567,3e-05
56,0.3823,1.61529,0.00562,0.00191,0.00377,0.00564,3e-05
57,0.37858,1.61086,0.00534,0.00085,0.00309,0.00678,1.5e-05
58,0.29454,1.61002,0.00506,0.00118,0.00312,0.00684,1.5e-05
59,0.34791,1.75286,0.00531,0.00102,0.00317,0.00545,1.5e-05
60,0.24469,1.6301,0.00499,0.00112,0.00306,0.00706,1.5e-05
61,0.25537,1.61972,0.00394,0.00054,0.00224,0.00616,1.5e-05
62,nan,1.63495,0.00398,0.00022,0.0021,0.0059,1.5e-05
63,0.25077,1.64582,0.00261,0.00036,0.00149,0.0064,1.5e-05
64,0.24581,1.52433,0.00378,0.00046,0.00212,0.00729,1.5e-05
65,0.23934,1.61117,0.00418,0.00134,0.00276,0.00609,1.5e-05
66,0.25758,1.6009,0.00565,0.00049,0.00307,0.0073,1.5e-05
67,0.25508,1.54289,0.00487,0.00059,0.00273,0.0068,1.5e-05
68,0.22047,1.5143,0.00466,0.00064,0.00265,0.00621,1.5e-05
