epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,18.80683,6.78905,4e-05,0.0,2e-05,0.00012,3e-05
2,10.93646,5.8947,0.00066,0.0,0.00033,0.0002,2.988e-05
3,6.34509,5.90827,0.00189,0.0,0.00095,0.00174,2.953e-05
4,4.8635,5.21632,0.00177,5e-05,0.00091,0.00315,2.895e-05
5,4.18674,4.526,0.00204,0.00028,0.00116,0.00227,2.815e-05
6,3.55841,4.21982,0.00134,0.00058,0.00096,0.00351,2.714e-05
7,3.65432,4.12988,0.00123,0.00069,0.00096,0.00552,2.595e-05
8,3.00796,3.36343,0.00168,0.00102,0.00135,0.00304,2.458e-05
9,2.64252,3.41775,0.00123,0.00051,0.00087,0.00301,2.306e-05
10,2.66322,2.96703,0.00127,0.00102,0.00114,0.00293,2.142e-05
11,2.39782,2.79452,0.00135,0.00252,0.00194,0.0033,1.967e-05
12,2.04784,2.7916,0.00121,0.00098,0.00109,0.00315,1.785e-05
13,1.89539,2.90246,0.00095,0.00077,0.00086,0.00391,1.599e-05
14,1.90817,2.60656,0.00151,0.00084,0.00117,0.00353,1.411e-05
15,1.93199,2.67631,0.0018,0.00109,0.00145,0.00435,1.225e-05
16,1.533,2.47667,0.00123,0.00118,0.00121,0.00462,1.043e-05
17,1.68147,2.49504,0.0019,0.00148,0.00169,0.00484,8.68e-06
18,1.50558,2.4664,0.00192,0.00092,0.00142,0.00512,7.04e-06
19,1.57676,2.48747,0.00152,0.00102,0.00127,0.00528,5.52e-06
20,1.49239,2.52547,0.0016,0.00091,0.00126,0.00565,4.15e-06
21,1.55434,2.45774,0.00159,0.00122,0.0014,0.00533,2.96e-06
22,1.41458,2.43645,0.00146,0.00132,0.00139,0.00552,1.95e-06
23,1.33339,2.44712,0.00154,0.00108,0.00131,0.00592,1.15e-06
24,1.37119,2.41902,0.00183,0.00134,0.00159,0.00603,5.7e-07
25,1.32938,2.45704,0.00182,0.00147,0.00164,0.00586,2.2e-07
26,1.65971,2.81914,0.00172,0.00128,0.0015,0.00634,3e-05
27,1.53623,2.3445,0.00104,0.00179,0.00141,0.00524,2.997e-05
28,1.63564,2.33707,0.00232,0.00107,0.0017,0.00545,2.988e-05
29,1.49375,2.54691,0.00221,0.00119,0.0017,0.00623,2.974e-05
30,1.86075,2.53958,0.00086,0.00077,0.00082,0.0062,2.953e-05
31,1.47912,2.4287,0.00366,0.00238,0.00302,0.00644,2.927e-05
32,1.36768,2.4656,0.00222,0.00202,0.00212,0.00673,2.895e-05
33,1.19432,2.27941,0.00145,0.00091,0.00118,0.00565,2.858e-05
34,1.27176,2.32394,0.00237,0.00224,0.00231,0.0062,2.815e-05
35,1.3925,2.24375,0.00124,0.00098,0.00111,0.00729,2.767e-05
36,1.22632,2.27245,0.00167,0.00104,0.00136,0.00707,2.714e-05
37,1.1739,2.23848,0.00082,0.00085,0.00084,0.00651,2.657e-05
38,1.20144,2.16612,0.00151,0.00084,0.00117,0.00652,2.595e-05
39,1.21362,2.17958,0.00076,0.00187,0.00131,0.00656,2.528e-05
40,1.14641,2.14937,0.00115,0.00158,0.00136,0.00685,2.458e-05
41,0.9388,2.03922,0.0022,0.00355,0.00288,0.00711,2.384e-05
42,0.98106,2.07465,0.00087,0.00211,0.00149,0.00831,2.306e-05
43,1.03411,1.97455,0.00123,0.0015,0.00136,0.00734,2.225e-05
44,0.79138,1.9496,0.00177,0.00119,0.00148,0.00815,2.142e-05
45,0.95243,1.89165,0.00548,0.00193,0.0037,0.00804,2.055e-05
46,0.89963,1.83973,0.0023,0.0018,0.00205,0.00806,1.967e-05
47,0.79097,1.84226,0.00122,0.00129,0.00126,0.00749,1.877e-05
48,0.84277,1.83323,0.00239,0.00132,0.00186,0.00841,1.785e-05
49,0.8067,1.8198,0.00065,0.00091,0.00078,0.0086,1.692e-05
50,0.85261,1.83484,0.00085,0.00082,0.00084,0.00841,1.599e-05
51,0.80771,1.82837,0.00132,0.00086,0.00109,0.00934,1.505e-05
52,0.77265,1.8292,0.00198,0.00169,0.00183,0.00924,1.411e-05
53,0.74495,1.85239,0.00066,0.00079,0.00073,0.00858,1.318e-05
54,0.65494,1.83941,0.0009,0.00122,0.00106,0.00867,1.225e-05
55,0.74934,1.78411,0.00132,0.00095,0.00114,0.00989,1.133e-05
56,0.654,1.79351,0.00088,0.00123,0.00105,0.00941,1.043e-05
57,0.66438,1.86413,0.00062,0.00093,0.00078,0.01008,9.55e-06
58,0.66495,1.76911,0.00115,0.00129,0.00122,0.00968,8.68e-06
59,0.72855,1.78543,0.00085,0.00115,0.001,0.00886,7.85e-06
60,0.82474,1.76718,0.001,0.00104,0.00102,0.00892,7.04e-06
61,0.69185,1.85543,0.00073,0.00077,0.00075,0.00901,6.26e-06
62,0.65064,1.82617,0.00086,0.00115,0.00101,0.00953,5.52e-06
63,0.627,1.80784,0.00096,0.00105,0.00101,0.0098,4.82e-06
64,0.64401,1.8396,0.00113,0.00125,0.00119,0.01072,4.15e-06
65,0.59596,1.76612,0.00114,0.00115,0.00115,0.01063,3.53e-06
66,0.62658,1.75047,0.0009,0.00126,0.00108,0.01026,2.96e-06
67,0.59967,1.71788,0.00084,0.00107,0.00095,0.0103,2.43e-06
68,0.76949,1.74706,0.00087,0.00102,0.00094,0.01013,1.95e-06
69,0.64059,1.76811,0.00081,0.00093,0.00087,0.00986,1.52e-06
70,0.55404,1.75087,0.00094,0.00112,0.00103,0.01056,1.15e-06
71,0.54934,1.79787,0.0008,0.0014,0.0011,0.01056,8.3e-07
72,0.61933,1.75634,0.00089,0.00114,0.00102,0.01081,5.7e-07
73,0.75092,1.73313,0.00124,0.00117,0.00121,0.01042,3.6e-07
74,0.59983,1.76693,0.00099,0.00129,0.00114,0.01057,2.2e-07
75,0.62104,1.81889,0.00074,0.00109,0.00091,0.01027,1.3e-07
76,0.69621,1.81859,0.00123,0.00211,0.00167,0.01019,3e-05
77,1.07863,1.78543,0.00112,0.00075,0.00093,0.01084,2.999e-05
78,0.94232,1.73648,0.00048,0.00076,0.00062,0.01064,2.997e-05
79,0.81868,1.70371,0.00329,0.00071,0.002,0.00991,2.993e-05
80,0.71275,1.63214,0.00196,0.00265,0.00231,0.00957,2.988e-05
81,0.74967,1.71822,0.00097,0.00384,0.0024,0.01298,2.982e-05
82,0.74967,1.7255,0.00043,0.00168,0.00106,0.00883,2.974e-05
83,0.68933,1.63966,0.0019,0.00281,0.00235,0.01163,2.964e-05
84,0.66876,1.61841,0.00263,0.0025,0.00257,0.00966,2.953e-05
85,0.73875,1.67775,0.00217,0.00122,0.0017,0.01029,2.941e-05
86,0.69944,1.65067,0.00076,0.00103,0.0009,0.01229,2.927e-05
87,0.79294,1.74633,0.00059,0.00089,0.00074,0.0107,2.912e-05
88,0.60536,1.76417,0.00114,0.00087,0.001,0.01031,2.895e-05
89,0.64157,1.73335,0.00194,0.0017,0.00182,0.01079,2.877e-05
90,0.6636,1.73908,0.00189,0.001,0.00145,0.01268,2.858e-05
91,0.7668,1.76514,0.00129,0.00104,0.00116,0.01401,2.837e-05
92,0.54611,1.68423,0.0006,0.00086,0.00073,0.0109,2.815e-05
93,0.60358,1.70376,0.00037,0.00083,0.0006,0.01168,2.792e-05
94,0.57981,1.53645,0.00122,0.00098,0.0011,0.01135,2.767e-05
95,0.54779,1.5971,0.00072,0.00157,0.00114,0.0134,2.741e-05
96,0.4807,1.70585,0.00051,0.00174,0.00113,0.01203,2.714e-05
97,0.62859,1.69885,0.00101,0.00091,0.00096,0.01303,2.686e-05
98,0.55478,1.6404,0.00317,0.00167,0.00242,0.01155,2.657e-05
99,0.62193,1.69665,0.0017,0.00147,0.00159,0.01224,2.626e-05
100,0.63409,1.76214,0.0015,0.00121,0.00135,0.01434,2.595e-05
101,0.56228,1.80907,0.00435,0.0013,0.00283,0.01251,2.562e-05
102,0.56329,1.77138,0.00592,0.00153,0.00373,0.01232,2.528e-05
103,0.48708,1.75137,0.00177,0.001,0.00138,0.011,2.494e-05
104,0.52606,1.7093,0.00169,0.00204,0.00186,0.01207,2.458e-05
105,0.56234,1.75837,0.00117,0.00137,0.00127,0.0126,2.421e-05
106,0.45423,1.81451,0.0008,0.00087,0.00083,0.01495,2.384e-05
107,0.48245,1.76546,0.00072,0.00104,0.00088,0.01236,2.345e-05
108,0.78955,1.70554,0.00088,0.00067,0.00077,0.01134,2.306e-05
109,0.533,1.83516,0.00057,0.00068,0.00063,0.01214,2.266e-05
110,0.54399,1.7814,0.00089,0.00095,0.00092,0.01187,2.225e-05
111,0.50863,1.73012,0.001,0.00146,0.00123,0.0135,2.184e-05
112,0.4259,1.70814,0.00172,0.00158,0.00165,0.01375,2.142e-05
113,0.46027,1.80254,0.00046,0.00107,0.00076,0.01227,2.099e-05
114,0.42575,1.76446,0.00066,0.00097,0.00082,0.01171,2.055e-05
115,0.46703,1.75661,0.00062,0.00145,0.00104,0.01169,2.011e-05
116,0.46262,1.79488,0.00074,0.00085,0.0008,0.01162,1.967e-05
117,0.42176,1.80568,0.00068,0.00137,0.00102,0.01223,1.922e-05
118,0.43315,1.8025,0.00114,0.00071,0.00092,0.01083,1.877e-05
119,0.44908,1.85898,0.00093,0.00158,0.00125,0.01428,1.831e-05
