epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,11.42172,7.35521,0.0,6e-05,3e-05,0.00013,3e-05
2,5.24049,6.37475,0.0,8e-05,4e-05,0.00013,3e-05
3,4.14743,5.98551,0.0,0.0,0.0,0.00023,3e-05
4,3.9322,6.10911,0.0,0.0001,5e-05,0.0004,3e-05
5,3.61329,5.67842,3e-05,5e-05,4e-05,0.00024,3e-05
6,3.47883,5.32861,0.00335,6e-05,0.0017,0.00101,3e-05
7,2.97992,4.7762,0.00074,0.00014,0.00044,0.00315,3e-05
8,2.75012,4.60885,0.00111,0.0002,0.00066,0.00426,3e-05
9,2.49706,4.6479,0.00153,0.00015,0.00084,0.00664,3e-05
10,2.6086,4.17637,0.00222,0.00828,0.00525,0.00691,3e-05
11,2.45636,3.55208,0.00113,0.01048,0.00581,0.00879,3e-05
12,2.29795,3.62809,0.00166,0.01035,0.006,0.00524,3e-05
13,2.22986,3.20576,0.00079,0.00246,0.00163,0.00347,3e-05
14,2.12111,3.58914,0.00118,0.0001,0.00064,0.00397,3e-05
15,1.89159,3.04341,0.00084,0.00579,0.00331,0.00361,3e-05
16,1.97489,2.96923,0.00081,0.00246,0.00163,0.00471,3e-05
17,1.90537,2.85269,0.00098,0.00065,0.00081,0.00378,3e-05
18,1.62021,2.82133,0.00112,0.00126,0.00119,0.00286,3e-05
19,1.73617,3.05207,0.00048,0.0001,0.00029,0.00315,3e-05
20,1.71332,2.56809,0.00069,0.00042,0.00056,0.00475,3e-05
21,1.59226,2.51928,0.00082,0.00022,0.00052,0.00634,3e-05
22,1.74972,2.61648,0.00035,0.00018,0.00026,0.00541,3e-05
23,1.64176,2.52557,0.00049,0.00018,0.00034,0.00373,3e-05
24,1.51796,2.55676,0.00087,0.00012,0.00049,0.0051,3e-05
25,1.52703,2.72486,0.00039,0.00015,0.00027,0.00395,3e-05
26,1.35104,2.524,0.00063,0.00011,0.00037,0.00482,3e-05
27,1.24708,2.59464,0.0006,9e-05,0.00035,0.0055,3e-05
28,1.43912,2.48521,0.00054,0.00016,0.00035,0.0046,3e-05
29,1.20397,2.35209,0.00061,0.00066,0.00063,0.00509,3e-05
30,1.25565,2.55639,0.00132,0.00027,0.00079,0.00452,3e-05
31,1.27166,2.3296,0.00196,0.00042,0.00119,0.00771,3e-05
32,1.34339,2.26771,0.00103,0.00021,0.00062,0.00812,3e-05
33,1.46657,2.30978,0.00121,0.0003,0.00075,0.00698,3e-05
34,1.38351,2.39072,0.00065,0.00034,0.0005,0.00641,3e-05
35,1.15673,2.14002,0.004,0.00229,0.00314,0.0092,3e-05
36,1.1112,2.1856,0.00248,0.00028,0.00138,0.00761,3e-05
37,1.14093,2.19009,0.00325,0.00028,0.00177,0.00846,3e-05
38,1.16597,2.1701,0.00235,0.00026,0.0013,0.00893,3e-05
39,1.10769,2.33324,0.00048,0.00037,0.00042,0.00822,3e-05
40,1.08639,2.29423,0.00138,0.00028,0.00083,0.00916,3e-05
41,1.06536,2.34915,0.00187,0.00024,0.00105,0.00839,3e-05
42,0.98998,2.3226,0.00115,0.00064,0.00089,0.00945,3e-05
43,0.99469,2.23933,0.00096,0.00052,0.00074,0.00938,3e-05
44,1.01026,2.24889,0.00245,0.00081,0.00163,0.01032,3e-05
45,0.95982,2.32214,0.00062,0.00035,0.00048,0.00866,3e-05
46,1.03354,2.21113,0.00099,0.00022,0.00061,0.00893,3e-05
47,1.1239,2.25263,0.0012,0.00048,0.00084,0.00819,3e-05
48,0.8658,2.28754,0.00132,0.00079,0.00105,0.007,3e-05
49,0.8391,2.3448,0.0004,0.00065,0.00053,0.00635,1.5e-05
50,1.09835,2.34322,0.00481,0.00143,0.00312,0.0083,1.5e-05
51,0.74368,2.18583,0.00284,0.00116,0.002,0.00847,1.5e-05
52,0.80203,2.31018,0.00092,0.00071,0.00082,0.00771,1.5e-05
53,0.73725,2.24036,0.00171,0.00085,0.00128,0.00937,1.5e-05
54,0.75952,2.28477,0.00109,0.00056,0.00082,0.00863,1.5e-05
55,0.83357,2.23883,0.00106,0.00081,0.00093,0.00868,1.5e-05
56,0.82897,2.39042,0.00343,0.00104,0.00223,0.00959,1.5e-05
57,0.81072,2.40687,0.00197,0.00035,0.00116,0.00876,1.5e-05
58,0.90231,2.45131,0.00151,0.00062,0.00107,0.00818,1.5e-05
59,0.74409,2.42681,0.00206,0.00059,0.00133,0.00855,1.5e-05
60,0.65951,2.45375,0.00078,0.00062,0.0007,0.00899,1.5e-05
