epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,3.65984,3.71672,1e-05,0.0,1e-05,0.00074,5e-05
2,3.14209,2.91672,2e-05,0.00033,0.00018,0.00194,5e-05
3,2.70937,2.81134,0.0,0.00058,0.00029,0.00237,5e-05
4,2.61468,2.66967,0.0,0.00016,8e-05,0.00273,5e-05
5,2.4628,2.39441,0.0,0.00177,0.00088,0.00353,5e-05
6,nan,2.25984,0.0,0.00123,0.00061,0.00361,5e-05
7,2.17436,2.22917,0.0,0.00027,0.00014,0.00314,5e-05
8,2.13438,2.40332,7e-05,0.00134,0.0007,0.00359,5e-05
9,2.07624,2.3902,0.00055,0.001,0.00078,0.00389,5e-05
10,1.97896,1.99178,0.00252,0.00044,0.00148,0.00425,5e-05
11,1.94291,2.02845,0.00341,0.00091,0.00216,0.00448,5e-05
12,1.85926,1.84986,0.00257,0.0012,0.00189,0.00377,5e-05
13,nan,2.01966,0.00265,0.00057,0.00161,0.004,5e-05
14,1.73312,1.7161,0.00237,0.00092,0.00164,0.00432,5e-05
15,1.63242,2.45572,0.00225,0.00041,0.00133,0.00563,5e-05
16,nan,1.76002,0.00235,0.00044,0.0014,0.00421,5e-05
17,1.58618,1.69935,0.0059,0.00041,0.00315,0.00492,5e-05
18,nan,1.55738,0.01177,0.00114,0.00646,0.00551,5e-05
19,1.47146,1.65442,0.01176,0.00081,0.00629,0.00609,5e-05
20,nan,1.535,0.00527,0.00087,0.00307,0.00483,5e-05
21,1.42203,1.70377,0.00535,0.00081,0.00308,0.0063,5e-05
22,1.35921,1.4951,0.00897,0.00132,0.00514,0.00631,5e-05
23,1.30047,1.43235,0.01199,0.00071,0.00635,0.00683,5e-05
24,1.27804,1.45656,0.01137,0.00116,0.00626,0.0073,5e-05
25,1.23671,1.48315,0.01028,0.00176,0.00602,0.00558,5e-05
26,1.22245,1.51527,0.00804,0.00199,0.00502,0.00583,5e-05
27,1.26796,1.46819,0.00592,0.00029,0.0031,0.00691,5e-05
28,1.07859,1.34193,0.01167,0.00105,0.00636,0.00749,2.5e-05
29,1.04201,1.25261,0.01785,0.00088,0.00936,0.00829,2.5e-05
30,1.06605,1.25012,0.01611,0.00176,0.00894,0.00744,2.5e-05
31,1.00322,1.23464,0.01458,0.00136,0.00797,0.00727,2.5e-05
32,1.01289,1.23194,0.00682,0.0006,0.00371,0.00699,2.5e-05
33,nan,1.25911,0.01018,0.00062,0.0054,0.00681,2.5e-05
34,0.90968,1.12602,0.01124,0.00123,0.00624,0.0079,2.5e-05
35,0.92038,1.19982,0.0119,0.00106,0.00648,0.0075,2.5e-05
36,0.92886,1.21913,0.01089,0.00092,0.0059,0.00793,2.5e-05
37,0.89552,1.15484,0.01626,0.00126,0.00876,0.00885,2.5e-05
38,0.88171,1.13801,0.01315,0.00233,0.00774,0.00759,2.5e-05
39,0.85642,1.14917,0.01817,0.00081,0.00949,0.00852,1.25e-05
40,0.83845,1.10353,0.01398,0.00148,0.00773,0.00846,1.25e-05
41,nan,1.08855,0.01397,0.00173,0.00785,0.00864,1.25e-05
42,nan,1.0901,0.02016,0.00094,0.01055,0.00904,1.25e-05
43,0.78348,1.07122,0.0136,0.00115,0.00738,0.00833,1.25e-05
44,0.802,1.01481,0.01456,0.00127,0.00791,0.00882,1.25e-05
45,0.748,1.03814,0.01218,0.0014,0.00679,0.00784,1.25e-05
46,nan,0.98705,0.01633,0.00126,0.0088,0.00796,1.25e-05
47,nan,1.07888,0.0143,0.00134,0.00782,0.00763,1.25e-05
48,nan,1.05231,0.01084,0.00143,0.00613,0.00831,1.25e-05
49,0.69858,1.03244,0.01158,0.00119,0.00638,0.00841,1.25e-05
50,0.69745,0.99014,0.0134,0.00095,0.00717,0.00906,1.25e-05
