epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,11.00358,6.33108,0.00023,0.00011,0.00017,0.00058,3e-05
2,6.25568,5.40357,0.00155,0.00056,0.00105,0.00125,3e-05
3,4.31496,4.81912,0.00132,0.00022,0.00077,0.00143,3e-05
4,3.21396,4.15348,0.00154,0.00059,0.00106,0.00186,3e-05
5,2.52886,3.7659,0.0041,0.00085,0.00248,0.00237,3e-05
6,2.45176,3.96121,0.00284,0.00037,0.0016,0.00196,3e-05
7,2.03567,3.70626,0.00064,0.00026,0.00045,0.00214,3e-05
8,2.15572,3.68968,0.00409,0.00037,0.00223,0.00263,3e-05
9,1.91206,3.56659,0.00066,0.00028,0.00047,0.00269,3e-05
10,1.76203,3.73754,0.00127,0.00021,0.00074,0.00283,3e-05
11,1.58181,3.72606,0.0032,0.00016,0.00168,0.00321,3e-05
12,1.55035,3.63322,0.00501,0.00015,0.00258,0.00382,3e-05
13,1.44183,3.54134,0.00557,0.00032,0.00294,0.0033,3e-05
14,1.24995,3.4437,0.00557,0.00064,0.00311,0.00351,3e-05
15,1.30825,3.44301,0.00509,0.00023,0.00266,0.0044,3e-05
16,1.11852,3.57733,0.00135,0.00024,0.0008,0.00448,3e-05
17,1.05828,2.99162,0.00255,0.00053,0.00154,0.00451,3e-05
18,1.04833,3.37661,0.00547,0.0002,0.00284,0.0044,3e-05
19,1.00522,4.05517,0.00413,0.00011,0.00212,0.00475,3e-05
20,1.02175,3.50776,0.00656,0.00038,0.00347,0.00467,3e-05
21,0.86387,3.36424,0.00669,0.00033,0.00351,0.00404,3e-05
22,0.96742,3.43815,0.00484,0.00038,0.00261,0.00419,3e-05
23,0.91082,3.14615,0.00428,0.00025,0.00226,0.00433,3e-05
24,0.83694,3.65012,0.00104,0.0002,0.00062,0.00516,3e-05
25,0.84376,3.79859,0.00336,0.00016,0.00176,0.0049,3e-05
26,0.79019,3.76774,0.00436,0.00034,0.00235,0.00551,3e-05
27,0.83287,3.76179,0.0039,0.00015,0.00202,0.00604,3e-05
28,0.73363,3.66784,0.00337,0.00054,0.00196,0.00513,3e-05
29,0.79702,3.83231,0.00278,0.00038,0.00158,0.00558,3e-05
30,0.80395,3.18642,0.00488,0.00136,0.00312,0.00714,3e-05
31,1.09876,3.91744,0.00557,0.00047,0.00302,0.00444,1.5e-05
32,0.68786,3.88362,0.00103,0.00016,0.0006,0.00667,1.5e-05
33,0.53474,3.53596,0.00143,0.00033,0.00088,0.00689,1.5e-05
34,0.56126,3.84662,0.00394,0.00021,0.00208,0.00534,1.5e-05
35,0.59085,3.93267,0.00114,0.0005,0.00082,0.00603,1.5e-05
36,0.57349,3.62204,0.00074,0.00032,0.00053,0.00783,1.5e-05
37,0.56542,3.85052,0.00049,0.00033,0.00041,0.00746,1.5e-05
38,0.49838,4.34556,0.00045,0.00041,0.00043,0.00604,1.5e-05
39,0.48778,4.26538,0.00034,0.00069,0.00052,0.0074,1.5e-05
40,0.49782,4.85509,0.00018,0.00045,0.00031,0.00641,1.5e-05
41,0.42005,4.67363,0.00128,0.00033,0.00081,0.00665,1.5e-05
42,0.47059,3.9166,0.00248,0.00047,0.00148,0.00644,1.5e-05
