epoch,train_loss,val_loss,iou_sargassum_denso,iou_algas_sparse,iou_sargassum_combinado,mIoU,lr
1,5.56301,5.18353,0.00222,0.0005,0.00136,0.00074,5e-06
2,2.66592,3.76832,0.00218,0.0003,0.00124,0.00184,5e-06
3,2.20329,3.31633,0.0016,0.00023,0.00092,0.00348,5e-06
4,1.7843,2.83271,0.00209,0.0003,0.0012,0.00728,5e-06
5,1.41677,2.53823,0.003,0.0005,0.00175,0.01243,5e-06
6,1.36698,2.53583,0.00248,0.00039,0.00144,0.01323,5e-06
7,1.2696,2.59706,0.00203,0.00036,0.0012,0.01267,5e-06
8,1.28998,2.51941,0.00262,0.00048,0.00155,0.0181,5e-06
9,1.20978,2.44789,0.0035,0.00072,0.00211,0.01905,5e-06
10,1.24213,2.63601,0.00187,0.00053,0.0012,0.01484,5e-06
11,1.14433,2.52021,0.00497,0.0008,0.00288,0.01825,5e-06
12,0.88343,2.39641,0.00474,0.00091,0.00282,0.02016,5e-06
13,1.12042,2.30079,0.00456,0.0013,0.00293,0.02211,5e-06
14,1.12944,2.26679,0.00412,0.00089,0.00251,0.02077,5e-06
15,1.09948,2.45999,0.00373,0.00084,0.00228,0.02361,5e-06
16,0.73016,2.46686,0.00327,0.00087,0.00207,0.02077,5e-06
17,0.82296,2.54901,0.00416,0.00122,0.00269,0.01986,5e-06
18,1.04337,2.68809,0.00191,0.00112,0.00152,0.0194,5e-06
19,0.90596,2.46806,0.00251,0.00099,0.00175,0.02172,5e-06
20,0.88628,2.545,0.00309,0.00152,0.00231,0.02144,5e-06
21,0.99055,2.48328,0.00279,0.00097,0.00188,0.02255,5e-06
22,0.75038,2.39034,0.00395,0.00138,0.00267,0.02088,5e-06
23,0.73907,2.51392,0.006,0.00118,0.00359,0.02243,5e-06
24,1.02666,2.73186,0.00284,0.00105,0.00194,0.0201,5e-06
25,0.95333,2.77884,0.00498,0.00193,0.00345,0.02079,5e-06
26,0.77323,2.94647,0.00207,0.00206,0.00206,0.02016,5e-06
27,0.86928,2.97533,0.00234,0.00289,0.00261,0.02029,5e-06
28,1.02312,2.97508,0.00221,0.0019,0.00205,0.01944,2.5e-06
29,1.04669,3.06515,0.00266,0.00245,0.00255,0.02231,2.5e-06
30,0.97582,3.31097,0.00229,0.00214,0.00221,0.02166,2.5e-06
31,0.65618,3.33017,0.00395,0.00275,0.00335,0.02234,2.5e-06
32,0.65558,3.28133,0.00146,0.0017,0.00158,0.02129,2.5e-06
33,1.01023,3.06346,0.00451,0.00218,0.00334,0.0236,2.5e-06
34,0.93553,3.13951,0.00664,0.00242,0.00453,0.02375,2.5e-06
35,0.9274,3.3528,0.00297,0.0023,0.00263,0.02152,2.5e-06
36,0.64519,3.41414,0.00378,0.00234,0.00306,0.02226,2.5e-06
37,0.75809,3.12287,0.00218,0.00317,0.00267,0.02181,2.5e-06
38,0.77748,3.39437,0.00779,0.00344,0.00561,0.02301,2.5e-06
39,0.74094,3.46827,0.00598,0.00312,0.00455,0.02502,2.5e-06
